,totals
0,5961708
1,394761965
2,4428194678
3,4822956643
4,1344941817
5,5720239179
6,7065180996
7,202863608
8,907573553
9,1110437161
10,92915692
11,303510729
12,396426421
13,967397937
14,53
15,2235897
16,5961708
17,394761965
18,4428194678
19,4822956643
20,1344941817
21,5720239179
22,7065180996
23,202863608
24,907573553
25,1110437161
26,92915692
27,303510729
28,396426421
29,967397937
30,53
31,2235897
32,5961708
33,394761965
34,4428194678
35,4822956643
36,1344941817
37,5720239179
38,7065180996
39,202863608
40,907573553
41,1110437161
42,92915692
43,303510729
44,396426421
45,967397937
46,53
47,2235897
48,5961708
49,394761965
50,4428194678
51,4822956643
52,1344941817
53,5720239179
54,7065180996
55,202863608
56,907573553
57,1110437161
58,92915692
59,303510729
60,396426421
61,967397937
62,53
63,2235897
64,5961708
65,394761965
66,4428194678
67,4822956643
68,1344941817
69,5720239179
70,7065180996
71,202863608
72,907573553
73,1110437161
74,92915692
75,303510729
76,396426421
77,967397937
78,53
79,2235897
80,5961708
81,394761965
82,4428194678
83,4822956643
84,1344941817
85,5720239179
86,7065180996
87,202863608
88,907573553
89,1110437161
90,92915692
91,303510729
92,396426421
93,967397937
94,53
95,2235897
96,5961708
97,394761965
98,4428194678
99,4822956643
100,1344941817
101,5720239179
102,7065180996
103,202863608
104,907573553
105,1110437161
106,92915692
107,303510729
108,396426421
109,967397937
110,53
111,2235897
112,5961708
113,394761965
114,4428194678
115,4822956643
116,1344941817
117,5720239179
118,7065180996
119,202863608
120,907573553
121,1110437161
122,92915692
123,303510729
124,396426421
125,967397937
126,53
127,2235897
128,5961708
129,394761965
130,4428194678
131,4822956643
132,1344941817
133,5720239179
134,7065180996
135,202863608
136,907573553
137,1110437161
138,92915692
139,303510729
140,396426421
141,967397937
142,53
143,2235897
144,5961708
145,394761965
146,4428194678
147,4822956643
148,1344941817
149,5720239179
150,7065180996
151,202863608
152,907573553
153,1110437161
154,92915692
155,303510729
156,396426421
157,967397937
158,53
159,2235897
160,5961708
161,394761965
162,4428194678
163,4822956643
164,1344941817
165,5720239179
166,7065180996
167,202863608
168,907573553
169,1110437161
170,92915692
171,303510729
172,396426421
173,967397937
174,53
175,2235897
176,5961708
177,394761965
178,4428194678
179,4822956643
180,1344941817
181,5720239179
182,7065180996
183,202863608
184,907573553
185,1110437161
186,92915692
187,303510729
188,396426421
189,967397937
190,53
191,2235897
192,5961708
193,394761965
194,4428194678
195,4822956643
196,1344941817
197,5720239179
198,7065180996
199,202863608
200,907573553
201,1110437161
202,92915692
203,303510729
204,396426421
205,967397937
206,53
207,2235897
208,5961708
209,394761965
210,4428194678
211,4822956643
212,1344941817
213,5720239179
214,7065180996
215,202863608
216,907573553
217,1110437161
218,92915692
219,303510729
220,396426421
221,967397937
222,53
223,2235897
224,5961708
225,394761965
226,4428194678
227,4822956643
228,1344941817
229,5720239179
230,7065180996
231,202863608
232,907573553
233,1110437161
234,92915692
235,303510729
236,396426421
237,967397937
238,53
239,2235897
240,5961708
241,394761965
242,4428194678
243,4822956643
244,1344941817
245,5720239179
246,7065180996
247,202863608
248,907573553
249,1110437161
250,92915692
251,303510729
252,396426421
253,967397937
254,53
255,2235897
256,5961708
257,394761965
258,4428194678
259,4822956643
260,1344941817
261,5720239179
262,7065180996
263,202863608
264,907573553
265,1110437161
266,92915692
267,303510729
268,396426421
269,967397937
270,53
271,2235897
272,5961708
273,394761965
274,4428194678
275,4822956643
276,1344941817
277,5720239179
278,7065180996
279,202863608
280,907573553
281,1110437161
282,92915692
283,303510729
284,396426421
285,967397937
286,53
287,2235897
288,5961708
289,394761965
290,4428194678
291,4822956643
292,1344941817
293,5720239179
294,7065180996
295,202863608
296,907573553
